基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费
000876,建信稳定得利债券C,JXWDDLZQC,债券型,4.6261,0,0,2.7252,3.5088,6.0156,12.3344,17.3875,24.7243,,1,2020-08-14,1.3570,0.1476,1,0.00%,100,0,,
007697,中金衡益增强债券A,ZJHYZQZQA,债券型,4.5495,-0.4136,0.0661,2.7247,3.9341,,,,,,1,2020-08-14,1.0594,0.4075,1,0.08%,100,1,0.80%,0.08%
008557,易方达裕富债券C,YFDYFZQC,债券型,,0.2413,1.2082,2.7195,,,,,,,1,2020-08-14,1.0387,0.2413,1,0.00%,100,0,,
005212,汇安稳裕债券,HAWYZQ,债券型,4.6664,0.3134,0.2949,2.7179,3.1899,8.8219,11.1738,,,,1,2020-08-14,1.0884,0.1196,0,0.08%,100,1,0.80%,0.08%
006010,国融融银灵活配置混合C,GRRYLHPZHHC,混合型,-4.0469,0.0860,-0.6353,2.7149,-5.5515,2.3138,9.4428,,,,1,2020-08-14,1.0480,0.2967,1,0.00%,100,0,,
410005,华富收益增强债券B,HFSYZQZQB,债券型,4.0370,-0.1086,1.6440,2.7081,3.1401,6.1682,10.9117,12.7429,18.8977,,1,2020-08-14,1.4715,0.4094,1,0.00%,100,0,0.00%,0.00%
080003,长盛积极配置债券,CSJJPZZQ,债券型,3.7225,-0.0652,-0.9373,2.7058,2.7575,7.9130,14.4725,14.5901,20.9357,,1,2020-08-14,1.2260,0.5495,1,0.08%,100,1,0.80%,0.08%
002602,易方达丰惠混合,YFDFHHH,混合型,-3.3363,0.6399,2.3234,2.7052,-1.6086,9.0099,17.5027,8.3661,,,1,2020-08-14,1.1010,0.2732,1,0.10%,100,1,1.00%,0.10%
673083,西部利得祥运混合C,XBLDXYHHC,混合型,3.3090,0.3743,2.4689,2.7003,3.5237,5.9354,-1.0876,1.3862,,,1,2020-08-14,1.0459,0.0957,1,0.00%,100,0,,
002401,南方亚洲美元债人民币C,NFYZMYZRMBC,QDII,-1.3530,0.0259,0.3897,2.6931,-2.1111,0.0426,5.7780,7.9573,,,1,2020-08-13,1.1592,-0.3610,1,0.00%,100,0,,
675081,西部利得祥盈债券A,XBLDXYZQA,债券型,5.9432,-0.6587,0.1374,2.6925,2.0218,11.4698,24.1484,29.0703,,,1,2020-08-14,1.3120,0.3749,1,0.06%,100,1,0.60%,0.06%
002962,中欧双利债券C,ZOSLZQC,债券型,5.8975,-0.1984,0.1212,2.6880,4.0495,9.9168,15.3147,17.7368,,,1,2020-08-14,1.1569,0.3470,1,0.00%,100,0,,
161506,银河通利债券(LOF)C,YHTLZQLOFC,债券型,5.0930,-1.3657,-1.6642,2.6857,2.3622,7.4380,14.3360,16.3832,20.9570,,1,2020-08-14,1.30,0.0770,1,0.00%,1000,0,0.00%,0.00%
675083,西部利得祥盈债券C,XBLDXYZQC,债券型,5.8799,-0.6660,0.1343,2.6727,1.9789,11.3189,22.9344,27.1770,,,1,2020-08-14,1.2677,0.3721,1,0.00%,100,0,,
004144,上投安丰回报A,STAFHBA,混合型,4.8052,-0.2388,-0.0523,2.6645,6.7039,9.1161,27.8203,30.4390,,,1,2020-08-14,1.3370,0.4583,1,0.10%,100,1,1.00%,0.10%
519753,交银安心收益债券,JYAXSYZQ,债券型,3.5355,-0.2648,0.6728,2.6598,2.95,6.4620,6.9833,10.4449,10.7809,,1,2020-08-14,1.0923,0.1375,1,0.08%,100,1,0.80%,0.08%
008830,海富通安益对冲混合C,HFTAYDCHHC,混合型,,-0.1066,0.9991,2.6583,3.0585,,,,,,1,2020-08-14,1.0311,0.2138,1,0.00%,100,0,,
006297,富国鑫旺稳健养老(FOF),FGXWWJYLFOF,混合-FOF,5.6021,-0.8583,0.6718,2.6569,3.9366,8.3961,,,,,1,2020-08-12,1.1089,-0.3146,1,0.08%,100,1,0.80%,0.08%
008502,鹏扬聚利六个月持有期债券C,PYJLLGYCYQZQC,债券型,,-0.0966,0.5933,2.6501,3.2445,,,,,,1,2020-08-14,1.0342,0.2618,1,0.00%,100,0,,
002880,华夏大中华信用债C,HXDZHXYZC,QDII,-2.6339,-0.0987,0.5964,2.6451,-4.0114,-0.7782,6.9897,9.6152,,,1,2020-08-13,1.0120,-0.1972,1,0.00%,100,0,,
007266,嘉实新添益定期混合A,JSXTYDQHHA,混合型,4.1017,0.1840,1.5766,2.6298,3.4588,8.9563,,,,,1,2020-08-14,1.0888,0.2301,0,0.08%,100,1,0.80%,0.08%
007698,中金衡益增强债券C,ZJHYZQZQC,债券型,4.2877,-0.4151,0.0284,2.6249,3.7343,,,,,,1,2020-08-14,1.0556,0.4090,1,0.00%,100,0,,
004836,中融鑫价值混合A,ZRXJZHHA,混合型,2.0765,0.6410,-1.2670,2.6241,-0.6516,9.1513,16.9929,,,,1,2020-08-14,1.0520,-0.1045,1,0.15%,100,1,1.50%,0.15%
395001,中海稳健收益债券,ZHWJSYZQ,债券型,4.4484,-0.0851,0.5998,2.6224,3.6187,6.7273,13.2112,16.1227,15.6283,,1,2020-08-14,1.1740,0.0853,1,0.00%,100,0,0.00%,0.00%
003628,兴银收益增强债券,XYSYZQZQ,债券型,7.2187,-0.1940,1.2525,2.6110,4.1886,9.0366,11.6834,11.1242,,,1,2020-08-14,1.1318,0.2036,0,0.08%,100,1,0.80%,0.08%
001945,东方红信用债债券A,DFHXYZZQA,债券型,3.9308,0.1818,0.7574,2.6101,3.3380,7.2263,15.6194,20.9574,,,1,2020-08-14,1.1573,0.2078,0,0.80%,100,99,0.80%,0.80%
004145,上投安丰回报C,STAFHBC,混合型,4.7096,-0.2440,-0.0788,2.5988,6.6482,8.8933,21.7387,23.8444,,,1,2020-08-14,1.2673,0.4598,1,0.00%,100,0,,
