基金代码,基金名称,名称缩写,基金类型,今年来,近1周,近1月,近3月,近6月,近1年,近2年,近3年,n0,不知道是啥,page_num,数据来源日期,净值,日增长率,total_page_num,手续费,购买起点（元),page_num2,原先手续费,现在手续费,基金规模,基金经理url,成立时间,跟踪误差率,当前经理管理天数,当前回报率,经理工作年限,经理管理过的基金数量,经理平均名次,经理平均回报率,跑赢均值比例,排名在前50%比例
2907,南方中证500量化增强C,NFZZ500LHZQC,股票指数,34.2797,-0.777,0.3142,27.9559,27.8278,51.843,44.457,22.7885,,,1,2020-08-14,1.2770000000000001,1.672,1,0.00%,100,0.0,,,1.12亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_002907.html,2016-11-23,0.32%,653,64.92,4.049315068493152,15,0.5849889049971666,-6.694666666666667,0.26666666666666666,0.26666666666666666
160808,长盛同瑞中证200分级,CSTRZZ200FJ,股票指数,30.5065,-1.8730000000000002,0.9213,27.9193,27.6483,48.0958,48.4191,23.2282,-1.1193,,1,2020-08-14,1.205,1.3457,1,0.12%,100,1.0,1.20%,0.12%,0.10亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_160808.html,2011-12-06,0.27%,449,50.51,1.2328767123287672,20,0.5534406032671262,-12.448,0.2,0.35
1351,诺安中证500指数增强,NAZZ500ZSZQ,股票指数,37.3496,-1.7703,-2.5235,27.8711,31.539,53.4219,43.1851,16.7927,0.2796,,1,2020-08-14,1.0043,1.2501,1,0.12%,100,1.0,1.20%,0.12%,0.96亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_001351.html,2015-06-09,0.34%,549,55.49,12.783561643835617,12,0.6154799660008624,-18.045833333333334,0.3333333333333333,0.4166666666666667
7044,博道沪深300指数增强A,BDHS300ZSZQA,股票指数,27.3043,0.4249,-0.2994,27.8597,28.7245,45.5647,,,,,1,2020-08-14,1.4654,1.7286,1,0.12%,100,1.0,1.20%,0.12%,1.34亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007044.html,2019-04-26,0.21%,484,48.05,2.0356164383561643,14,0.4033601519068852,4.564285714285714,0.7142857142857143,0.8571428571428571
312,华安沪深300增强A,HAHS300ZQA,股票指数,30.1738,-0.16,1.4082,27.7898,28.9264,44.2105,59.9715,51.3226,76.7595,,1,2020-08-14,2.2468,1.8634,1,0.12%,100,1.0,1.20%,0.12%,2.75亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_000312.html,2013-09-27,0.26%,950,38.57,13.813698630136988,30,0.6204445377848488,-29.176666666666666,0.3666666666666665,0.4
4190,招商沪深300指数增强A,ZSHS300ZSZQA,股票指数,25.7658,0.0557,0.8542,27.7523,29.057,38.2564,59.3381,52.1588,,,1,2020-08-14,1.6176,1.4678,1,0.12%,100,1.0,1.20%,0.12%,1.38亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_004190.html,2017-02-10,0.19%,1289,62.25,10.175342465753424,36,0.5474754916066691,-6.156944444444445,0.4722222222222222,0.4722222222222222
502006,易方达国企改革指数分级,YFDGQGGZSFJ,股票指数,26.6902,0.1653,2.2629,27.7485,28.471999999999998,44.758,52.0032,37.426,8.7204,,1,2020-08-14,1.3331,1.4613,1,0.10%,100,1.0,1.00%,0.10%,2.33亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_502006.html,2015-06-15,0.12%,157,37.39,9.706849315068494,46,0.509020735531395,-8.28326086956522,0.4130434782608696,0.4565217391304348
7045,博道沪深300指数增强C,BDHS300ZSZQC,股票指数,26.9948,0.4202,-0.3282,27.7403,28.471999999999998,44.9925,,,,,1,2020-08-14,1.4579,1.7305,1,0.00%,100,0.0,,,2.92亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_007045.html,2019-04-26,0.21%,484,47.28,2.0356164383561643,14,0.4033601519068852,4.564285714285714,0.7142857142857143,0.8571428571428571
450008,国富沪深300指数增强,GFHS300ZSZQ,股票指数,27.3752,0.5722,-0.2522,27.6836,28.305,41.6293,63.0928,50.8103,39.1945,,1,2020-08-14,1.5819999999999999,1.671,1,0.12%,100,1.0,1.20%,0.12%,2.83亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_450008.html,2009-09-03,0.18%,1068,46.72,7.427397260273973,3,0.4497285323263805,6.046666666666662,0.6666666666666666,0.6666666666666666
313,华安沪深300增强C,HAHS300ZQC,股票指数,29.8511,-0.1668,1.379,27.6579,28.6721,43.6066,58.4713,49.1852,72.7158,,1,2020-08-14,2.1541,1.8631,1,0.00%,100,0.0,,,2.17亿元（2020-06-30）,http://fundf10.eastmoney.com/jjjl_000313.html,2013-09-27,0.26%,950,36.93,13.813698630136988,30,0.6204445377848488,-29.176666666666666,0.3666666666666665,0.4
